Family	Genome
Abyssoviridae	ssRNA(+)
Ackermannviridae	dsDNA
Adamaviridae	ssDNA(+); ssDNA(+/-)
Adenoviridae	dsDNA
Aggregaviridae	dsDNA
Ahmunviridae	dsDNA
Ahpuchviridae	dsDNA
Aliceevansviridae	dsDNA
Alisviridae	dsDNA
Aliusviridae	ssRNA(-)
Alloherpesviridae	dsDNA
Allomimiviridae	dsDNA
Alphaflexiviridae	ssRNA(+)
Alphagokushoviridae	ssDNA(+)
Alphaormycoviridae	ssRNA
Alphatetraviridae	ssRNA(+)
Alternaviridae	dsRNA
Altumviridae	dsDNA
Alvernaviridae	ssRNA(+)
Amalgaviridae	dsRNA
Ambiguiviridae	ssRNA(+)
Amesuviridae	ssDNA(+/-)
Amnoonviridae	ssRNA(-)
Ampullaviridae	dsDNA
Anaerodiviridae	dsDNA
Anamaviridae	dsDNA
Andersonviridae	dsDNA
Anelloviridae	ssDNA(-)
Anicreviridae	ssDNA(+/-)
Aoguangviridae	dsDNA
Apasviridae	dsDNA
Arenaviridae	ssRNA(-); ssRNA(+/-)
Arenbergviridae	dsDNA
Armatusviridae	dsDNA
Arteriviridae	ssRNA(+)
Artiviridae	dsRNA
Artoviridae	ssRNA(-)
Ascoviridae	dsDNA
Asemoviridae	dsDNA
Asfarviridae	dsDNA
Aspiviridae	ssRNA(-); ssRNA(+/-)
Assalcaviridae	dsDNA
Assiduviridae	dsDNA
Astroviridae	ssRNA(+)
Atkinsviridae	ssRNA(+)
Autolykiviridae	dsDNA
Autonotataviridae	dsDNA
Autoscriptoviridae	dsDNA
Autosignataviridae	dsDNA
Autotranscriptaviridae	dsDNA
Bacilladnaviridae	ssDNA(+/-)
Baculoviridae	dsDNA
Barnaviridae	ssRNA(+)
Basaltiviridae	dsDNA
Belpaoviridae	ssRNA-RT
Benyviridae	ssRNA(+)
Berryhillviridae	dsDNA
Betaflexiviridae	ssRNA(+)
Betagokushoviridae	ssDNA(+)
Betaormycoviridae	ssRNA
Bicaudaviridae	dsDNA
Bidnaviridae	ssDNA(+/-)
Birnaviridae	dsRNA
Blefusviridae	dsDNA
Blumeviridae	ssRNA(+)
Bornaviridae	ssRNA(-)
Botourmiaviridae	ssRNA(+)
Botybirnaviridae	dsRNA
Bromoviridae	ssRNA(+)
Buchnerviridae	dsDNA
Burtonviroviridae	dsDNA
Caliciviridae	ssRNA(+)
Carmotetraviridae	ssRNA(+)
Casidaviridae	dsDNA
Casjensviridae	dsDNA
Caulimoviridae	dsDNA-RT
Chaacviridae	dsDNA
Chaseviridae	dsDNA
Chicoviridae	ssDNA(+)
Chimalliviridae	dsDNA
Chiyouviridae	dsDNA
Chrysoviridae	dsRNA
Chuviridae	ssRNA(-)
Circoviridae	ssDNA(+/-)
Clavaviridae	dsDNA
Clermontviridae	dsDNA
Closteroviridae	ssRNA(+)
Colingsworthviridae	dsDNA
Connertonviridae	dsDNA
Coronaviridae	ssRNA(+)
Corticoviridae	dsDNA
Cremegaviridae	ssRNA(+)
Crepuscuviridae	ssRNA(-)
Crevaviridae	dsDNA
Cruliviridae	ssRNA(-)
Curvulaviridae	dsRNA
Cystoviridae	dsRNA
Dallocaviridae	dsDNA
Danacaviridae	dsDNA
Darmviridae	dsDNA
Deltaflexiviridae	ssRNA(+)
Deltaormycoviridae	ssRNA
Demerecviridae	dsDNA
Dicistroviridae	ssRNA(+)
Discoviridae	ssRNA(-)
Dishuiviroviridae	dsDNA
Draupnirviridae	ssDNA(+); ssDNA(+/-)
Drexlerviridae	dsDNA
Druskaviridae	dsDNA
Duinviridae	ssRNA(+)
Dumbiviridae	ssRNA(+/-)
Duneviridae	dsDNA
Ehrlichviridae	dsDNA
Ekchuahviridae	dsDNA
Endolinaviridae	ssDNA(+/-)
Endornaviridae	ssRNA(+)
Epsomviridae	dsDNA
Eubullaviridae	ssDNA(+)
Eupolintoviridae	dsDNA
Eurekaviridae	dsDNA
Euroniviridae	ssRNA(+)
Felixviridae	dsDNA
Fervensviridae	dsDNA
Fiersviridae	ssRNA(+)
Filamentoviridae	dsDNA
Filoviridae	ssRNA(-)
Fimoviridae	ssRNA(-)
