qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	sense	bed_name	tag
AAEL_ORF---RLX-comp_Aegypti_third-B-G15545-Map6_reversed***Gypsy_2	Ae_aeg_Aag2_ctg_1913/ctg_1913:81095-91095	40.136	147	82	4	300	444	5516	5944	0.0	111.0	pos	AAEL_ORF---RLX-comp_Aegypti_third-B-G15545-Map6_reversed***Gypsy_2	HOST
AAEL_ORF---RLX-comp_Aegypti_third-B-G15545-Map6_reversed***Gypsy_2	Ae_aeg_Aag2_ctg_1913/ctg_1913:81095-91095	33.333	135	89	1	451	584	5964	6368	0.0	96.7	pos	AAEL_ORF---RLX-comp_Aegypti_third-B-G15545-Map6_reversed***Gypsy_2	HOST
AAEL_ORF---RLX-comp_Aegypti_third-B-G15545-Map6_reversed***Gypsy_2	Ae_aeg_Aag2_ctg_1913/ctg_1913:100547-110547	36.255	251	128	8	162	395	3961	3254	3.37e-25	106.0	pos	AAEL_ORF---RLX-comp_Aegypti_third-B-G15545-Map6_reversed***Gypsy_2	HOST
AAEL_ORF---RLX-comp_Aegypti_third-B-G15545-Map6_reversed***Gypsy_2	Ae_aeg_Aag2_ctg_1913/ctg_1913:100547-110547	65.934	91	31	0	844	934	1890	1618	0.0	135.0	pos	AAEL_ORF---RLX-comp_Aegypti_third-B-G15545-Map6_reversed***Gypsy_2	HOST
AAEL_ORF---RLX-comp_Aegypti_third-B-G15545-Map6_reversed***Gypsy_2	Ae_aeg_Aag2_ctg_1913/ctg_1913:100547-110547	38.235	102	63	0	737	838	2212	1907	0.0	58.5	pos	AAEL_ORF---RLX-comp_Aegypti_third-B-G15545-Map6_reversed***Gypsy_2	HOST
AAEL_ORF---RLX-comp_Aegypti_third-B-G15545-Map6_reversed***Gypsy_2	Ae_aeg_Aag2_ctg_1913/ctg_1913:100547-110547	67.424	132	37	2	604	734	2618	2238	0.0	178.0	pos	AAEL_ORF---RLX-comp_Aegypti_third-B-G15545-Map6_reversed***Gypsy_2	HOST
AAEL_ORF---RLX-comp_Aegypti_third-B-G15545-Map6_reversed***Gypsy_2	Ae_aeg_Aag2_ctg_1913/ctg_1913:100547-110547	56.442	326	130	4	293	613	3558	2602	0.0	346.0	pos	AAEL_ORF---RLX-comp_Aegypti_third-B-G15545-Map6_reversed***Gypsy_2	HOST
AAEL_ORF---RLX-comp_Aegypti_third-B-G15545-Map6_reversed***Gypsy_2	Ae_aeg_Aag2_ctg_1913/ctg_1913:100547-110547	52.688	93	42	1	1113	1205	1083	811	0.0	97.4	pos	AAEL_ORF---RLX-comp_Aegypti_third-B-G15545-Map6_reversed***Gypsy_2	HOST
AAEL_ORF---RLX-comp_Aegypti_third-B-G15545-Map6_reversed***Gypsy_2	Ae_aeg_Aag2_ctg_1913/ctg_1913:1770-11770	100.0	599	0	0	1	599	1798	2	0.0	1241.0	pos	AAEL_ORF---RLX-comp_Aegypti_third-B-G15545-Map6_reversed***Gypsy_2	HOST
AAEL_ORF---RLX-comp_Aegypti_third-B-G15545-Map6_reversed***Gypsy_2	Ae_aeg_Aag2_ctg_1913/ctg_1913:100547-110547	70.811	185	54	0	934	1118	1619	1065	0.0	299.0	pos	AAEL_ORF---RLX-comp_Aegypti_third-B-G15545-Map6_reversed***Gypsy_2	HOST
AAEL_ORF---RLX-comp_Aegypti_third-B-R1305-Map20_reversed***Gypsy_3	Ae_aeg_Aag2_ctg_1913/ctg_1913:100547-110547	91.304	46	4	0	428	473	3122	2985	1.6e-20	91.3	pos	AAEL_ORF---RLX-comp_Aegypti_third-B-R1305-Map20_reversed***Gypsy_3	HOST
AAEL_ORF---RLX-comp_Aegypti_third-B-R1305-Map20_reversed***Gypsy_3	Ae_aeg_Aag2_ctg_1913/ctg_1913:100547-110547	100.0	185	0	0	929	1113	1619	1065	0.0	391.0	pos	AAEL_ORF---RLX-comp_Aegypti_third-B-R1305-Map20_reversed***Gypsy_3	HOST
AAEL_ORF---RLX-comp_Aegypti_third-B-R1305-Map20_reversed***Gypsy_3	Ae_aeg_Aag2_ctg_1913/ctg_1913:1770-11770	65.247	587	200	2	1	586	1756	5	0.0	795.0	pos	AAEL_ORF---RLX-comp_Aegypti_third-B-R1305-Map20_reversed***Gypsy_3	HOST
AAEL_ORF---RLX-comp_Aegypti_third-B-R1305-Map20_reversed***Gypsy_3	Ae_aeg_Aag2_ctg_1913/ctg_1913:100547-110547	100.0	91	0	0	839	929	1890	1618	0.0	192.0	pos	AAEL_ORF---RLX-comp_Aegypti_third-B-R1305-Map20_reversed***Gypsy_3	HOST
AAEL_ORF---RLX-comp_Aegypti_third-B-R1305-Map20_reversed***Gypsy_3	Ae_aeg_Aag2_ctg_1913/ctg_1913:100547-110547	72.755	323	76	4	283	600	3552	2605	0.0	437.0	pos	AAEL_ORF---RLX-comp_Aegypti_third-B-R1305-Map20_reversed***Gypsy_3	HOST
AAEL_ORF---RLX-comp_Aegypti_third-B-R1305-Map20_reversed***Gypsy_3	Ae_aeg_Aag2_ctg_1913/ctg_1913:100547-110547	95.652	92	2	1	1109	1198	1086	811	0.0	171.0	pos	AAEL_ORF---RLX-comp_Aegypti_third-B-R1305-Map20_reversed***Gypsy_3	HOST
AAEL_ORF---RLX-comp_Aegypti_third-B-R1305-Map20_reversed***Gypsy_3	Ae_aeg_Aag2_ctg_1913/ctg_1913:100547-110547	99.13	115	1	0	725	839	2233	1889	0.0	229.0	pos	AAEL_ORF---RLX-comp_Aegypti_third-B-R1305-Map20_reversed***Gypsy_3	HOST
